time,pitch,pitch_est,roll,roll_est
0.01,-0.002233807,-0.005178981,-0.009468182,-0.001300643
0.02,0.000941353,-0.001980427,-0.013248205,-0.009336721
0.03,0.003399463,0.006579298,-0.016441882,-0.020364615
0.04,0.0067269,-0.007045485,-0.020252394,0.009058492
0.05,0.008155425,0.00043024,-0.024139948,-0.005757393
0.06,0.011535046,-0.007612654,-0.027500112,-0.007198305
0.07,0.013923855,-0.005505711,-0.02891217,-0.012400652
0.08,0.016130887,-0.011132058,-0.023388427,-0.005499791
0.09,0.017047422,0.002877074,-0.01790319,0.004257566
0.1,0.019104356,-0.002610208,-0.010431038,0.018739105
0.11,0.020049518,-0.006455572,0.004978092,0.023137983
0.12,0.017746314,-0.007551208,0.03111095,0.044074109
0.13,0.015323428,-0.015846229,0.067482881,0.073424447
0.14,0.018193575,-0.012457781,0.103014477,0.109911681
0.15,0.030564154,-0.026500372,0.141447246,0.137557624
0.16,0.031767379,-0.023625431,0.176618367,0.187540905
0.17,0.028793089,-0.021408574,0.21442239,0.221294202
0.18,0.021286165,-0.026052087,0.249874115,0.259529149
0.19,0.021861298,-0.019572983,0.292577028,0.308558067
0.2,0.016518017,-0.026225578,0.327931225,0.347714423
0.21,0.008103459,-0.03474436,0.370619059,0.378126894
0.22,0.002834622,-0.036519773,0.422561795,0.414690377
0.23,-0.006944161,-0.059677732,0.469988048,0.465213097
0.24,-0.010896824,-0.075876238,0.515073538,0.501381839
0.25,-0.018872352,-0.055092029,0.556232214,0.542957339
0.26,-0.021656359,-0.060218394,0.584601164,0.575510177
0.27,-0.023375047,-0.068406329,0.606730342,0.600287677
0.28,-0.032821529,-0.061978775,0.625296712,0.614643925
0.29,-0.034226663,-0.057596698,0.649847865,0.627040819
0.3,-0.032138247,-0.065010676,0.686628759,0.642501301
0.31,-0.018118478,-0.068786869,0.729252696,0.67288625
0.32,-0.006597776,-0.043221218,0.772658348,0.701871285
0.33,-0.008192899,-0.034117307,0.801645517,0.735252211
0.34,-0.009778089,-0.045452346,0.820186734,0.772254628
0.35,-0.016607512,-0.057844036,0.841351867,0.782660634
0.36,-0.024240095,-0.071216844,0.871649802,0.79518566
0.37,-0.032398615,-0.078020495,0.902095914,0.808716241
0.38,-0.025781894,-0.047868897,0.93660599,0.814480849
0.39,-0.022753622,-0.051890985,0.957947373,0.828584818
0.4,-0.028151385,-0.061310162,0.986131191,0.845804532
0.41,-0.029871466,-0.062673219,1.018155098,0.857999891
0.42,-0.023121003,-0.055415206,1.038120151,0.882128337
0.43,-0.020334065,-0.062695312,1.048877835,0.89900116
0.44,-0.019319097,-0.061105792,1.064472318,0.893838315
0.45,-0.012637326,-0.052625537,1.075164437,0.89303742
0.46,-0.009033415,-0.041260025,1.085673094,0.900856691
0.47,-0.002846543,-0.036569343,1.094784021,0.904202172
0.48,-0.002152832,-0.024578521,1.102694392,0.901026612
0.49,-0.002102675,-0.031645432,1.106308699,0.912005392
0.5,-0.003842721,-0.035847737,1.112197518,0.918571515
0.51,-0.005653888,-0.030588661,1.109511733,0.923815308
0.52,-0.011199261,-0.031478148,1.098821998,0.923144327
0.53,-0.021014687,-0.033715859,1.084067345,0.924302587
0.54,-0.027595684,-0.049261238,1.069207549,0.898333657
0.55,-0.029981663,-0.048693344,1.047133565,0.881917166
0.56,-0.035415422,-0.048186421,1.028162956,0.864650519
0.57,-0.035789948,-0.048541673,0.992936015,0.846785305
0.58,-0.031700853,-0.036783632,0.955941081,0.835857612
0.59,-0.030808076,-0.017606343,0.899755538,0.819205014
0.6,-0.021101402,-0.013686409,0.857071042,0.788447198
0.61,-0.01861191,-0.021866067,0.806473732,0.767319054
0.62,-0.01503247,-0.030342509,0.747433543,0.727489233
0.63,-0.009737645,-0.040245742,0.717116714,0.702930097
0.64,-0.005863849,-0.016661266,0.700370073,0.663147214
0.65,-0.010956715,-0.032452687,0.667040884,0.642187406
0.66,-0.014404944,-0.043415016,0.635951459,0.62622295
0.67,-0.015659198,-0.040810893,0.599210739,0.596317046
0.68,-0.016173383,-0.031563496,0.560192645,0.563861402
0.69,-0.013969667,-0.011338279,0.521476328,0.543868449
0.7,-0.012414357,-0.020765318,0.472383529,0.510560271
0.71,-0.014535343,-0.024280834,0.434796989,0.476666637
0.72,-0.014285127,-0.0323483,0.406527102,0.443998334
0.73,-0.014216067,-0.023161235,0.376316726,0.379435618
0.74,-0.006835812,-0.017249509,0.332734138,0.365824858
0.75,-7.30E-05,-0.020628369,0.295259953,0.341321492
0.76,0.007076248,-0.022117905,0.254344732,0.307049517
