time,pitch,pitch_est,roll,roll_est
0.01,-0.004846147,-0.003590186,-0.008802238,-0.003851371
0.02,-0.003642418,-0.004556832,-0.008395134,-0.005722731
0.03,-0.002687744,-0.00521231,-0.008013857,-0.006355257
0.04,-0.00161425,-0.00712907,-0.007784704,-0.006942458
0.05,-0.000937133,-0.006282992,-0.007497217,-0.007166955
0.06,-0.000223923,-0.006196332,-0.007178334,-0.007289557
0.07,0.000133649,-0.006392616,-0.007019069,-0.007587654
0.08,0.000609847,-0.006763803,-0.00680682,-0.007508449
0.09,0.000961723,-0.006570724,-0.006640808,-0.006763531
0.1,0.00118821,-0.004727506,-0.006625073,-0.007803236
0.11,0.001867565,-0.007791378,-0.006488487,-0.004567331
0.12,0.001544362,-0.007771479,-0.005674935,-0.006463624
0.13,0.001747818,-0.006459738,-0.005777102,-0.007096464
0.14,0.001848116,-0.005902413,-0.005748307,-0.00660178
0.15,0.001753781,-0.006116211,-0.00578675,-0.007415541
0.16,0.001762932,-0.005985115,-0.005993898,-0.005316757
0.17,0.001691663,-0.007103306,-0.005782833,-0.007122395
0.18,0.001663404,-0.005926472,-0.005907993,-0.007370452
0.19,0.001401598,-0.005037664,-0.00554637,-0.008204023
0.2,0.001202349,-0.006022883,-0.005636671,-0.007773979
0.21,0.001084064,-0.005060805,-0.005804439,-0.0068661
0.22,0.000844598,-0.006009208,-0.00610521,-0.00651481
0.23,0.00071785,-0.006552923,-0.006428742,-0.008387994
0.24,0.000553037,-0.006202035,-0.006545108,-0.008139533
0.25,0.000269401,-0.006749141,-0.006450304,-0.007179301
0.26,-2.67E-05,-0.006357997,-0.006448477,-0.008396336
0.27,-0.000302266,-0.00721128,-0.006298582,-0.010619585
0.28,-0.000728365,-0.00658921,-0.006255527,-0.011002979
0.29,-0.000997763,-0.00689531,-0.006386118,-0.010124989
0.3,-0.000849502,-0.006658824,-0.006916743,-0.008455257
0.31,-0.000827267,-0.007938549,-0.007358487,-0.007312349
0.32,-0.000882495,-0.007505656,-0.007469452,-0.007342257
0.33,-0.001098876,-0.006226912,-0.007509232,-0.00839109
0.34,-0.001454407,-0.005616908,-0.007257065,-0.007735297
0.35,-0.001862281,-0.006172073,-0.006863627,-0.008072255
0.36,-0.002262176,-0.009427372,-0.006524232,-0.007191297
0.37,-0.002849331,-0.005795966,-0.006436819,-0.005158416
0.38,-0.002934003,-0.006953172,-0.006555369,-0.006964964
0.39,-0.002633154,-0.006861933,-0.007096054,-0.006418614
0.4,-0.002323277,-0.005723299,-0.007329675,-0.0074174
0.41,-0.002556294,-0.005183186,-0.007381137,-0.008033179
0.42,-0.002527812,-0.00539526,-0.007186486,-0.008595294
0.43,-0.002749751,-0.005110624,-0.007131703,-0.008375672
0.44,-0.003010727,-0.006427232,-0.007302811,-0.008163392
0.45,-0.003316324,-0.005657713,-0.007416514,-0.008405975
0.46,-0.003443902,-0.0058621,-0.007371456,-0.008154689
0.47,-0.003488016,-0.005836567,-0.007259599,-0.008043296
0.48,-0.003577898,-0.006907241,-0.00736577,-0.007247269
0.49,-0.003660833,-0.006718663,-0.007487541,-0.007606681
0.5,-0.003655473,-0.007199735,-0.007637813,-0.006719554
0.51,-0.003826891,-0.006253827,-0.007763208,-0.007459439
0.52,-0.003948821,-0.006026967,-0.00794675,-0.009007671
0.53,-0.00397009,-0.005639845,-0.008012231,-0.008724179
0.54,-0.004069869,-0.004802417,-0.008078219,-0.008942425
0.55,-0.004118844,-0.005114338,-0.007962178,-0.008209224
0.56,-0.004252628,-0.005714365,-0.007692536,-0.008704721
0.57,-0.004445678,-0.006266332,-0.007687487,-0.009419121
0.58,-0.00460932,-0.005565766,-0.007719853,-0.008685133
0.59,-0.004653508,-0.006436011,-0.007633407,-0.00734698
0.6,-0.004764435,-0.006395147,-0.007660855,-0.007763822
0.61,-0.004819869,-0.005623412,-0.007617781,-0.007855598
0.62,-0.004781647,-0.005595186,-0.007691571,-0.007414129
0.63,-0.004720142,-0.005859684,-0.007744663,-0.007930321
0.64,-0.004663677,-0.006466126,-0.007603918,-0.007695384
0.65,-0.004661289,-0.006515744,-0.00743788,-0.007247413
0.66,-0.004771541,-0.006255917,-0.007317044,-0.007252256
0.67,-0.004852023,-0.006958265,-0.007468603,-0.007122881
0.68,-0.004928798,-0.005489855,-0.00766255,-0.006302404
0.69,-0.004785818,-0.005992038,-0.007971838,-0.007576545
0.7,-0.004657689,-0.006370872,-0.008081033,-0.007626387
0.71,-0.005562602,0.006853931,-0.009227426,-0.01105314
0.72,-0.004901348,-0.002081853,-0.009476835,0.015203427
0.73,0.009021977,-0.006585757,-0.009455973,0.012914546
0.74,0.053453442,0.029794175,-0.009686733,0.008713611
0.75,0.099357232,0.06766731,-0.010326749,0.007167895
0.76,0.148173884,0.114410419,-0.011108599,0.004441671
